index_num,ra,dec,conf,objID,distance,type,ra_crossmatched,dec_crossmatched
278,13.28913,1.144415,0.73442,1.24E+18,0.016419343,3,13.28885841,1.144369231
279,14.0954,1.094575,0.651501,1.24E+18,0.030504441,3,14.09508201,1.094181829
280,15.29462,1.125158,0.759527,1.24E+18,0.022980392,3,15.29426768,1.124997981
281,16.59494,1.20325,0.756555,1.24E+18,0.00278605,3,16.59493001,1.203205535
282,16.89781,1.195861,0.716368,1.24E+18,0.0570111,3,16.89768435,1.194918644
283,19.14551,1.191753,0.764606,1.24E+18,0.015638458,3,19.14524952,1.191736941
284,20.21725,1.263908,0.802166,1.24E+18,0.030130854,3,20.21722989,1.263406378
285,20.59401,1.235965,0.770452,1.24E+18,0.020700609,3,20.59367167,1.236014486
286,20.99418,1.221341,0.774238,1.24E+18,0.018088808,3,20.99404932,1.221071044
287,23.57984,1.238185,0.798196,1.24E+18,0.059003079,3,23.57951262,1.239110997
288,23.66717,1.208594,0.664688,1.24E+18,0.024402088,3,23.66676342,1.208548719
289,23.91036,1.094747,0.75093,1.24E+18,0.019116705,3,23.91004369,1.094755359
290,25.52226,1.100084,0.660982,1.24E+18,0.024326212,3,25.52220769,1.099681499
291,28.07699,1.202113,0.746184,1.24E+18,0.041323685,3,28.07638812,1.201781554
292,28.62397,1.192203,0.777565,1.24E+18,0.01450442,3,28.62403662,1.191969116
293,28.782,1.150618,0.804152,1.24E+18,0.020097996,3,28.78218097,1.150335586
294,30.57832,1.201479,0.707221,1.24E+18,0.030407766,3,30.57805221,1.201051122
295,31.20018,1.207615,0.826204,1.24E+18,0.009802388,3,31.20012407,1.207769842
296,31.44829,1.066931,0.76953,1.24E+18,0.01935486,3,31.44808687,1.066677718
297,34.6748,1.183029,0.811462,1.24E+18,0.024880757,3,34.67438337,1.183058678
298,36.23127,1.256797,0.718104,1.24E+18,0.035049235,3,36.23068385,1.256846701
299,39.86209,1.272124,0.784597,1.24E+18,0.013754897,3,39.86187887,1.272201105
300,40.02049,1.087314,0.720357,1.24E+18,0.008244416,3,40.02035521,1.08731913
301,40.75991,1.224323,0.728893,1.24E+18,0.022384212,3,40.75970772,1.224012415
302,42.62047,1.100186,0.672419,1.24E+18,0.019355686,3,42.62040576,1.099870137
303,42.93794,1.141609,0.657873,1.24E+18,0.024273007,3,42.93759667,1.141398577
304,48.38864,1.148196,0.692258,1.24E+18,0.019093284,3,48.38885986,1.14796507
305,48.49144,1.256196,0.761817,1.24E+18,0.013074787,3,48.49122587,1.256205408
306,50.09825,1.259689,0.782665,1.24E+18,0.03524306,3,50.09766789,1.259620078
307,56.39981,1.240949,0.695849,1.24E+18,0.01668258,3,56.39961526,1.240754919
308,38.32492,-1.246552,0.769735,1.24E+18,0.015570756,3,38.32482331,-1.246793714
309,38.69254,-1.123493,0.744591,1.24E+18,0.013447488,3,38.69242355,-1.123684703
310,39.06522,-1.200175,0.681231,1.24E+18,0.011408569,3,39.06507903,-1.200051489
311,39.54185,-1.153168,0.67159,1.24E+18,0.027601615,3,39.54153681,-1.153504119
312,39.61443,-1.133376,0.73637,1.24E+18,0.03438957,3,39.61387867,-1.133521484
313,41.06171,-1.223647,0.719495,1.24E+18,0.027913191,3,41.06126068,-1.223766511
